modelNumber,domain,scenarioNumber,waterDepth,waveHeight,wavePeriod,rampTime,runTime,purgeWrite,waveSteepness,Gamma,waveTheory
73,highRelief,3,1,0.4,12,24,144,960,0.011,0.4,StokesV
74,highRelief,4,1,0.4,16,32,192,1280,0.008,0.4,cnoidal
75,highRelief,5,1,0.4,20,40,240,1600,0.006,0.4,cnoidal
76,highRelief,6,2,0.4,4,8,48,320,0.025,0.2,StokesV
77,highRelief,7,2,0.4,8,16,96,640,0.012,0.2,StokesV
78,highRelief,8,2,0.4,12,24,144,960,0.008,0.2,StokesV
79,highRelief,9,2,0.4,16,32,192,1280,0.006,0.2,StokesV
80,highRelief,10,2,0.4,20,40,240,1600,0.005,0.2,cnoidal
81,highRelief,11,2,0.8,4,8,48,320,0.049,0.4,StokesV
82,highRelief,12,2,0.8,8,16,96,640,0.023,0.4,StokesV
83,highRelief,13,2,0.8,12,24,144,960,0.015,0.4,StokesV
84,highRelief,14,2,0.8,16,32,192,1280,0.011,0.4,StokesV
85,highRelief,15,2,0.8,20,40,240,1600,0.009,0.4,cnoidal
86,highRelief,16,2,1.2,4,8,48,320,0.074,0.6,StokesV
87,highRelief,17,2,1.2,8,16,96,640,0.035,0.6,StokesV
88,highRelief,18,2,1.2,12,24,144,960,0.023,0.6,cnoidal
89,highRelief,19,2,1.2,16,32,192,1280,0.017,0.6,cnoidal
90,highRelief,20,2,1.2,20,40,240,1600,0.014,0.6,cnoidal
91,highRelief,21,3,0.4,4,8,48,320,0.021,0.13,StokesII
92,highRelief,22,3,0.4,8,16,96,640,0.01,0.13,cnoidal
93,highRelief,23,3,0.4,12,24,144,960,0.006,0.13,cnoidal
94,highRelief,24,3,0.4,16,32,192,1280,0.005,0.13,cnoidal
95,highRelief,25,3,0.4,20,40,240,1600,0.004,0.13,cnoidal
96,highRelief,26,3,0.8,4,8,48,320,0.042,0.27,StokesV
97,highRelief,27,3,0.8,8,16,96,640,0.019,0.27,StokesV
98,highRelief,28,3,0.8,12,24,144,960,0.012,0.27,StokesV
99,highRelief,29,3,0.8,16,32,192,1280,0.009,0.27,cnoidal
100,highRelief,30,3,0.8,20,40,240,1600,0.007,0.27,cnoidal
101,highRelief,31,3,1.2,4,8,48,320,0.063,0.4,StokesV
102,highRelief,32,3,1.2,8,16,96,640,0.029,0.4,StokesV
103,highRelief,33,3,1.2,12,24,144,960,0.019,0.4,StokesV
104,highRelief,34,3,1.2,16,32,192,1280,0.014,0.4,StokesV
105,highRelief,35,3,1.2,20,40,240,1600,0.011,0.4,cnoidal
106,highRelief,36,3,1.6,4,8,48,320,0.084,0.53,StokesV
107,highRelief,37,3,1.6,8,16,96,640,0.038,0.53,StokesV
108,highRelief,38,3,1.6,12,24,144,960,0.025,0.53,cnoidal
109,highRelief,39,3,1.6,16,32,192,1280,0.019,0.53,cnoidal
110,highRelief,40,3,1.6,20,40,240,1600,0.015,0.53,cnoidal
111,highRelief,41,3,2,4,8,48,320,0.105,0.67,StokesV
112,highRelief,42,3,2,8,16,96,640,0.048,0.67,cnoidal
113,highRelief,43,3,2,12,24,144,960,0.031,0.67,cnoidal
